user_input,retrieved_contexts,response,reference,faithfulness,context_precision,context_recall
Apa saja fokus utama dari Laboratorium Sistem Cerdas di Informatika UMSIDA?,"['[Fasilitas] Lab Sistem Cerdas: Laboratorium Sistem Cerdas (Informatika UMSIDA). Fokus utama: Software Engineering, Programming, dan Computer Science. Aktivitas meliputi pengembangan basis kode video game dan alat pengembangan software.', '[Fasilitas] Lab Komputasi: Laboratorium Komputasi Informatika UMSIDA. Fokus utama: Menunjang praktikum tingkat lanjut dan penelitian skripsi.', '[Fasilitas] Lab Jaringan: Laboratorium Jaringan / Siskom (Informatika UMSIDA). Fokus utama: Analisis jaringan, perekayasaan sistem, dan evaluasi sistem jaringan komputer.', '[Fasilitas] Lab Algoritma: Laboratorium Algoritma dan Pemrograman (Informatika UMSIDA). Fokus utama: Penunjang praktikum dasar, penelitian skripsi mahasiswa, dan riset dosen.', '[Organisasi] ASLAB: Asisten Laboratorium Informatika (ASLAB). Organisasi yang bertugas mewujudkan laboratorium bermutu, menyelenggarakan praktikum, dan sarana penelitian.', '[Organisasi] HIMATIKA: Himpunan Mahasiswa Informatika (HIMATIKA). Wadah pengembangan pola pikir, kepribadian, dan potensi intelektual mahasiswa berlandaskan nilai Islam.', '[Fasilitas] Lab RPL: Laboratorium Rekayasa Perangkat Lunak (RPL) Informatika UMSIDA. Fokus utama: Analisis kebutuhan sistem, perancangan, Quality Assurance (QA), dan rekayasa ulang software.', '[Fasilitas] Lab Game Multimedia: Laboratorium Game dan Multimedia (Informatika UMSIDA). Fokus utama: Mengkoordinasikan penciptaan video game, termasuk perancangan karakter, level design, animasi, dan art.', '[Dokumen Akademik] Sertifikat Akreditasi: Dokumen Sertifikat Akreditasi Program Studi Informatika UMSIDA. Dokumen ini digunakan sebagai bukti legalitas status akreditasi prodi untuk keperluan melamar kerja atau studi lanjut.', '[Profil Prodi] Tujuan Prodi: Tujuan Program Studi Informatika: Menghasilkan lulusan unggul, produk penelitian pendukung pembelajaran, teknologi tepat guna, serta kerjasama pendidikan yang berkelanjutan.']","- Software Engineering
- Programming
- Computer Science","Fokus utama Laboratorium Sistem Cerdas adalah Software Engineering, Programming, dan Computer Science. Aktivitasnya meliputi pengembangan basis kode video game dan alat pengembangan software.",1.0,0.9999999999,0.2857142857142857
Sebutkan fasilitas umum yang tersedia di kampus UMSIDA untuk mahasiswa.,"['[Fasilitas Umum] Gedung Kuliah: Fasilitas Gedung Perkuliahan UMSIDA. Ruang kelas yang nyaman untuk mendukung proses belajar mengajar.', '[Fasilitas Umum] Masjid Kampus: Fasilitas Masjid Kampus UMSIDA. Tempat ibadah yang nyaman bagi civitas akademika.', '[Fasilitas Umum] Perpustakaan: Fasilitas Ruang Baca dan Perpustakaan UMSIDA. Menyediakan referensi dan literasi bagi mahasiswa.', '[Fasilitas Umum] Kantin: Fasilitas Kantin Universitas UMSIDA. Pusat kuliner yang higienis untuk mahasiswa.', '[Fasilitas Umum] Area Parkir: Fasilitas Area Parkir UMSIDA. Area parkir kendaraan yang luas untuk mahasiswa dan dosen.', '[Dokumen Akademik] Surat Lulus Praktikum: Surat Keterangan Lulus Praktikum. Dokumen yang menyatakan mahasiswa telah menyelesaikan seluruh beban praktikum. Syarat untuk mendaftar skripsi/yudisium.', '[Dokumen Akademik] Sertifikat Akreditasi: Dokumen Sertifikat Akreditasi Program Studi Informatika UMSIDA. Dokumen ini digunakan sebagai bukti legalitas status akreditasi prodi untuk keperluan melamar kerja atau studi lanjut.', '[Fasilitas] Lab Komputasi: Laboratorium Komputasi Informatika UMSIDA. Fokus utama: Menunjang praktikum tingkat lanjut dan penelitian skripsi.', '[Organisasi] HIMATIKA: Himpunan Mahasiswa Informatika (HIMATIKA). Wadah pengembangan pola pikir, kepribadian, dan potensi intelektual mahasiswa berlandaskan nilai Islam.', '[Dokumen Akademik] SK Perubahan Nama Prodi: Surat Keputusan (SK) Perubahan Nama Program Studi Informatika. Dokumen ini penting untuk validasi ijazah lama atau administrasi yang memerlukan riwayat perubahan nama prodi.']","- Gedung Kuliah: Fasilitas Gedung Perkuliahan UMSIDA.
- Masjid Kampus: Fasilitas Masjid Kampus UMSIDA.
- Perpustakaan: Fasilitas Ruang Baca dan Perpustakaan UMSIDA.
- Kantin: Fasilitas Kantin Universitas UMSIDA.
- Area Parkir: Fasilitas Area Parkir UMSIDA.","Fasilitas umum di UMSIDA meliputi Masjid Kampus, Gedung Perkuliahan, Area Parkir yang luas, Ruang Baca dan Perpustakaan, serta Kantin Universitas.",1.0,0.99999999995,1.0
Berikan link untuk mengunduh Jadwal Praktikum PBO Semester Genap 2024/2025.,"['[Download] Jadwal Praktikum PBO: Jadwal Praktikum PBO (Pemrograman Berorientasi Objek) Semester Genap 2024/2025 dapat diunduh disini.', '[Download] Jadwal Praktikum Jarkom: Jadwal Praktikum Jaringan Komputer (Jarkom) Semester Genap 2024/2025 dapat diunduh disini.', '[Download] Jadwal Praktikum Algoritma: Jadwal Praktikum Algoritma dan Struktur Data Semester Genap 2024/2025 dapat diunduh disini.', '[Download] Jadwal Praktikum Basis Data: Jadwal Praktikum Basis Data Semester Genap 2024/2025 dapat diunduh disini.', '[Kurikulum] Matkul Semester 4: Mata Kuliah Semester 4 Informatika: Sains Islam, Metode Numerik, Statistika, Jaringan Komputer, PBO, Audit Sistem, App Web.', '[Kurikulum] Matkul Semester 5: Mata Kuliah Semester 5 Informatika: RPL, Pemodelan Game, Magang Industri, Grafika Komputer, AI, Mobile Programming, Data Mining, Metopen.', '[MBKM] Magang Bersertifikat: Program MBKM: Magang Bersertifikat (1-2 Semester). Memberikan pengalaman industri agar siap kerja. Industri mendapatkan talenta, mahasiswa mengaplikasikan ilmu.', '[Kurikulum] Matkul Semester 6: Mata Kuliah Semester 6 Informatika: Kewirausahaan, Machine Learning, Optimasi, Citra Digital, KKN, serta Mata Kuliah Pilihan (IoT, Keamanan Sistem, Terdistribusi, Manajemen Proyek).', '[MBKM] Pertukaran Mahasiswa: Program MBKM: Pertukaran Mahasiswa. Belajar di perguruan tinggi lain selama 1 semester untuk meningkatkan softskills & persatuan. Nilai SKS disetarakan.', '[Kurikulum] Matkul Semester 7: Mata Kuliah Semester 7 Informatika: Kewarganegaraan, B.Inggris, B.Indonesia, Pancasila, Etika Profesi, serta Mata Kuliah Pilihan (Multimedia, Game Prog, Web Mining, Ethical Hacking).']",- https://informatika.umsida.ac.id/wp-content/uploads/2025/03/PRAKTIKUM-PBO-2024-2025.pdf,Jadwal Praktikum PBO (Pemrograman Berorientasi Objek) Semester Genap 2024/2025 dapat diunduh melalui tautan ini: https://informatika.umsida.ac.id/wp-content/uploads/2025/03/PRAKTIKUM-PBO-2024-2025.pdf,1.0,0.999999999975,1.0
Dimana saya bisa download jadwal praktikum Jaringan Komputer?,"['[Download] Jadwal Praktikum Jarkom: Jadwal Praktikum Jaringan Komputer (Jarkom) Semester Genap 2024/2025 dapat diunduh disini.', '[Download] Jadwal Praktikum PBO: Jadwal Praktikum PBO (Pemrograman Berorientasi Objek) Semester Genap 2024/2025 dapat diunduh disini.', '[Download] Jadwal Praktikum Algoritma: Jadwal Praktikum Algoritma dan Struktur Data Semester Genap 2024/2025 dapat diunduh disini.', '[Download] Jadwal Praktikum Basis Data: Jadwal Praktikum Basis Data Semester Genap 2024/2025 dapat diunduh disini.', '[Dokumen Akademik] Surat Lulus Praktikum: Surat Keterangan Lulus Praktikum. Dokumen yang menyatakan mahasiswa telah menyelesaikan seluruh beban praktikum. Syarat untuk mendaftar skripsi/yudisium.', '[Profil Prodi] Profil Lulusan: Profil Lulusan Informatika UMSIDA: 1. Berkarakter uswah & inovatif. 2. Mampu analisis computing & solusi dinamis. 3. Mampu desain & implementasi solusi mandiri. 4. Komunikasi baik & profesional.', ""[Sertifikasi] Pelatihan dan Sertifikasi: Kegiatan Penunjang: Pelatihan & Workshop rutin (Web Dev, Python, Machine Learning) dan Sertifikasi Profesi (LSP) skema 'Junior Network Administrator' berlisensi BNSP."", '[Fasilitas] Lab Jaringan: Laboratorium Jaringan / Siskom (Informatika UMSIDA). Fokus utama: Analisis jaringan, perekayasaan sistem, dan evaluasi sistem jaringan komputer.', '[Profil Prodi] Tujuan Prodi: Tujuan Program Studi Informatika: Menghasilkan lulusan unggul, produk penelitian pendukung pembelajaran, teknologi tepat guna, serta kerjasama pendidikan yang berkelanjutan.', '[Fasilitas] Lab Komputasi: Laboratorium Komputasi Informatika UMSIDA. Fokus utama: Menunjang praktikum tingkat lanjut dan penelitian skripsi.']",- Jadwal Praktikum Jaringan Komputer (Jarkom) Semester Genap 2024/2025 dapat diunduh di [Download] Jadwal Praktikum Jarkom: https://informatika.umsida.ac.id/wp-content/uploads/2025/03/PRAKTIKUM-JARINGAN-KOMPUTER-2024-2025.pdf,Jadwal Praktikum Jaringan Komputer (Jarkom) Semester Genap 2024/2025 tersedia di tautan berikut: https://informatika.umsida.ac.id/wp-content/uploads/2025/03/PRAKTIKUM-JARINGAN-KOMPUTER-2024-2025.pdf,0.5,0.8055555555287036,1.0
Bagaimana cara mengajukan surat keterangan aktif kuliah secara online?,"['[Layanan] Formulir Surat Online: Layanan Administrasi Surat Online Informatika. Mahasiswa dapat mengajukan Surat Aktif Kuliah, Surat Magang, Penelitian, dan Tugas Akhir melalui formulir ini.', '[Dokumen Akademik] Sertifikat Akreditasi: Dokumen Sertifikat Akreditasi Program Studi Informatika UMSIDA. Dokumen ini digunakan sebagai bukti legalitas status akreditasi prodi untuk keperluan melamar kerja atau studi lanjut.', '[Kurikulum] Matkul Semester 6: Mata Kuliah Semester 6 Informatika: Kewirausahaan, Machine Learning, Optimasi, Citra Digital, KKN, serta Mata Kuliah Pilihan (IoT, Keamanan Sistem, Terdistribusi, Manajemen Proyek).', '[Dokumen Akademik] Surat Lulus Praktikum: Surat Keterangan Lulus Praktikum. Dokumen yang menyatakan mahasiswa telah menyelesaikan seluruh beban praktikum. Syarat untuk mendaftar skripsi/yudisium.', '[Kurikulum] Matkul Semester 7: Mata Kuliah Semester 7 Informatika: Kewarganegaraan, B.Inggris, B.Indonesia, Pancasila, Etika Profesi, serta Mata Kuliah Pilihan (Multimedia, Game Prog, Web Mining, Ethical Hacking).', '[Dokumen Akademik] SK Alternatif Skripsi: Surat Keputusan (SK) Alternatif Pengganti Skripsi. Berisi aturan dan ketentuan mengenai jalur kelulusan non-skripsi bagi mahasiswa Informatika.', '[Kurikulum] Matkul Semester 4: Mata Kuliah Semester 4 Informatika: Sains Islam, Metode Numerik, Statistika, Jaringan Komputer, PBO, Audit Sistem, App Web.', '[Administrasi Skripsi] Berita Acara Sidang: Berita Acara Ujian Skripsi Informatika. Formulir kelengkapan administrasi untuk pelaksanaan Sidang Skripsi.', '[Dokumen Akademik] SK Perubahan Nama Prodi: Surat Keputusan (SK) Perubahan Nama Program Studi Informatika. Dokumen ini penting untuk validasi ijazah lama atau administrasi yang memerlukan riwayat perubahan nama prodi.', '[Kurikulum] Matkul Semester 3: Mata Kuliah Semester 3 Informatika: Kemuhammadiyahan, Pemrograman Web, Matematika Rekayasa, Aljabar Linier, Sistem Informasi, Sistem Operasi.']","- Mahasiswa dapat mengajukan Surat Aktif Kuliah secara online melalui formulir Formulir Surat Online: Layanan Administrasi Surat Online Informatika.
- Formulir ini dapat diakses melalui link: https://docs.google.com/forms/d/1ijKTVs1T546WU__zqqEc9JeSfj2HoGVWFqhcGaJr-bs/viewform?edit_requested=true",Mahasiswa dapat mengajukan Surat Aktif Kuliah melalui layanan administrasi online menggunakan formulir berikut: https://docs.google.com/forms/d/1ijKTVs1T546WU__zqqEc9JeSfj2HoGVWFqhcGaJr-bs/viewform?edit_requested=true,0.5,0.9999999999,1.0
Apa visi dari Program Studi Informatika UMSIDA?,"['[Profil Prodi] Tujuan Prodi: Tujuan Program Studi Informatika: Menghasilkan lulusan unggul, produk penelitian pendukung pembelajaran, teknologi tepat guna, serta kerjasama pendidikan yang berkelanjutan.', '[Dokumen Akademik] Sertifikat Akreditasi: Dokumen Sertifikat Akreditasi Program Studi Informatika UMSIDA. Dokumen ini digunakan sebagai bukti legalitas status akreditasi prodi untuk keperluan melamar kerja atau studi lanjut.', '[Dokumen Akademik] SK Perubahan Nama Prodi: Surat Keputusan (SK) Perubahan Nama Program Studi Informatika. Dokumen ini penting untuk validasi ijazah lama atau administrasi yang memerlukan riwayat perubahan nama prodi.', '[Profil Prodi] Misi Prodi: Misi Program Studi Informatika UMSIDA: 1. Pendidikan unggul & inovatif berbasis nilai Islam. 2. Penelitian IPTEKS untuk kesejahteraan. 3. Pengabdian masyarakat bereputasi internasional. 4. Kerjasama berkelanjutan. 5. Tata kelola profesional & pembinaan kemahasiswaan.', '[Fasilitas] Lab Komputasi: Laboratorium Komputasi Informatika UMSIDA. Fokus utama: Menunjang praktikum tingkat lanjut dan penelitian skripsi.', '[Profil Prodi] Visi Prodi: Visi Program Studi Informatika UMSIDA: Menghasilkan lulusan yang profesional, unggul, inovatif, dan kompetitif dalam rekayasa perangkat lunak dan sistem cerdas yang adaptif terhadap perkembangan IPTEKS berdasarkan nilai-nilai Islam untuk kesejahteraan masyarakat tingkat ASEAN pada tahun 2038.', '[Fasilitas] Lab Algoritma: Laboratorium Algoritma dan Pemrograman (Informatika UMSIDA). Fokus utama: Penunjang praktikum dasar, penelitian skripsi mahasiswa, dan riset dosen.', '[Fasilitas] Lab Jaringan: Laboratorium Jaringan / Siskom (Informatika UMSIDA). Fokus utama: Analisis jaringan, perekayasaan sistem, dan evaluasi sistem jaringan komputer.', '[Organisasi] HIMATIKA: Himpunan Mahasiswa Informatika (HIMATIKA). Wadah pengembangan pola pikir, kepribadian, dan potensi intelektual mahasiswa berlandaskan nilai Islam.', '[Fasilitas] Lab Sistem Cerdas: Laboratorium Sistem Cerdas (Informatika UMSIDA). Fokus utama: Software Engineering, Programming, dan Computer Science. Aktivitas meliputi pengembangan basis kode video game dan alat pengembangan software.']","- Visi Program Studi Informatika UMSIDA: Menghasilkan lulusan yang profesional, unggul, inovatif, dan kompetitif dalam rekayasa perangkat lunak dan sistem cerdas yang adaptif terhadap perkembangan IPTEKS berdasarkan nilai-nilai Islam untuk kesejahteraan masyarakat tingkat ASEAN pada tahun 2038.","Visi Program Studi Informatika UMSIDA adalah menghasilkan lulusan yang profesional, unggul, inovatif, dan kompetitif dalam rekayasa perangkat lunak dan sistem cerdas yang adaptif terhadap perkembangan IPTEKS berdasarkan nilai-nilai Islam untuk kesejahteraan masyarakat tingkat ASEAN pada tahun 2038.",1.0,0.2916666666520833,1.0
Mata kuliah apa saja yang dipelajari pada semester 1?,"['[Kurikulum] Matkul Semester 1: Mata Kuliah Semester 1 Informatika: Kemanusiaan dan Keimanan, Algoritma dan Pemrograman, Sistem Digital, Arsitektur Komputer, Kalkulus, Fisika.', '[Kurikulum] Matkul Semester 5: Mata Kuliah Semester 5 Informatika: RPL, Pemodelan Game, Magang Industri, Grafika Komputer, AI, Mobile Programming, Data Mining, Metopen.', '[MBKM] Pertukaran Mahasiswa: Program MBKM: Pertukaran Mahasiswa. Belajar di perguruan tinggi lain selama 1 semester untuk meningkatkan softskills & persatuan. Nilai SKS disetarakan.', '[Kurikulum] Matkul Semester 7: Mata Kuliah Semester 7 Informatika: Kewarganegaraan, B.Inggris, B.Indonesia, Pancasila, Etika Profesi, serta Mata Kuliah Pilihan (Multimedia, Game Prog, Web Mining, Ethical Hacking).', '[Kurikulum] Matkul Semester 2: Mata Kuliah Semester 2 Informatika: Ibadah Akhlak, Algoritma & Struktur Data, Basis Data, Interaksi Manusia Komputer, Matematika Diskrit, Teori Bahasa Otomata.', '[Kurikulum] Matkul Semester 3: Mata Kuliah Semester 3 Informatika: Kemuhammadiyahan, Pemrograman Web, Matematika Rekayasa, Aljabar Linier, Sistem Informasi, Sistem Operasi.', '[Kurikulum] Matkul Semester 6: Mata Kuliah Semester 6 Informatika: Kewirausahaan, Machine Learning, Optimasi, Citra Digital, KKN, serta Mata Kuliah Pilihan (IoT, Keamanan Sistem, Terdistribusi, Manajemen Proyek).', '[MBKM] Magang Bersertifikat: Program MBKM: Magang Bersertifikat (1-2 Semester). Memberikan pengalaman industri agar siap kerja. Industri mendapatkan talenta, mahasiswa mengaplikasikan ilmu.', '[Kurikulum] Matkul Semester 4: Mata Kuliah Semester 4 Informatika: Sains Islam, Metode Numerik, Statistika, Jaringan Komputer, PBO, Audit Sistem, App Web.', '[Dokumen Akademik] Sertifikat Akreditasi: Dokumen Sertifikat Akreditasi Program Studi Informatika UMSIDA. Dokumen ini digunakan sebagai bukti legalitas status akreditasi prodi untuk keperluan melamar kerja atau studi lanjut.']","- Kemanusiaan dan Keimanan
- Algoritma dan Pemrograman
- Sistem Digital
- Arsitektur Komputer
- Kalkulus
- Fisika","Mata kuliah pada semester 1 meliputi: Kemanusiaan dan Keimanan, Algoritma dan Pemrograman, Sistem Digital, Arsitektur Komputer, Kalkulus, dan Fisika.",1.0,0.9999999999,1.0
Sebutkan mata kuliah pilihan yang tersedia di semester 7.,"['[Kurikulum] Matkul Semester 7: Mata Kuliah Semester 7 Informatika: Kewarganegaraan, B.Inggris, B.Indonesia, Pancasila, Etika Profesi, serta Mata Kuliah Pilihan (Multimedia, Game Prog, Web Mining, Ethical Hacking).', '[Kurikulum] Matkul Semester 8: Mata Kuliah Semester 8 Informatika: Fokus pengerjaan Skripsi (6 SKS).', '[Kurikulum] Matkul Semester 6: Mata Kuliah Semester 6 Informatika: Kewirausahaan, Machine Learning, Optimasi, Citra Digital, KKN, serta Mata Kuliah Pilihan (IoT, Keamanan Sistem, Terdistribusi, Manajemen Proyek).', '[Kurikulum] Matkul Semester 5: Mata Kuliah Semester 5 Informatika: RPL, Pemodelan Game, Magang Industri, Grafika Komputer, AI, Mobile Programming, Data Mining, Metopen.', '[Kurikulum] Matkul Semester 3: Mata Kuliah Semester 3 Informatika: Kemuhammadiyahan, Pemrograman Web, Matematika Rekayasa, Aljabar Linier, Sistem Informasi, Sistem Operasi.', '[Kurikulum] Matkul Semester 1: Mata Kuliah Semester 1 Informatika: Kemanusiaan dan Keimanan, Algoritma dan Pemrograman, Sistem Digital, Arsitektur Komputer, Kalkulus, Fisika.', '[Kurikulum] Matkul Semester 4: Mata Kuliah Semester 4 Informatika: Sains Islam, Metode Numerik, Statistika, Jaringan Komputer, PBO, Audit Sistem, App Web.', '[Kurikulum] Matkul Semester 2: Mata Kuliah Semester 2 Informatika: Ibadah Akhlak, Algoritma & Struktur Data, Basis Data, Interaksi Manusia Komputer, Matematika Diskrit, Teori Bahasa Otomata.', '[Fasilitas Umum] Gedung Kuliah: Fasilitas Gedung Perkuliahan UMSIDA. Ruang kelas yang nyaman untuk mendukung proses belajar mengajar.', '[Fasilitas Umum] Kantin: Fasilitas Kantin Universitas UMSIDA. Pusat kuliner yang higienis untuk mahasiswa.']","- Multimedia
- Game Prog
- Web Mining
- Ethical Hacking","Mata kuliah pilihan di semester 7 meliputi Multimedia, Game Programming (Game Prog), Web Mining, dan Ethical Hacking.",1.0,0.9999999999,1.0
Apa itu program Magang Bersertifikat di UMSIDA?,"['[MBKM] Magang Bersertifikat: Program MBKM: Magang Bersertifikat (1-2 Semester). Memberikan pengalaman industri agar siap kerja. Industri mendapatkan talenta, mahasiswa mengaplikasikan ilmu.', '[MBKM] Pertukaran Mahasiswa: Program MBKM: Pertukaran Mahasiswa. Belajar di perguruan tinggi lain selama 1 semester untuk meningkatkan softskills & persatuan. Nilai SKS disetarakan.', '[Dokumen Akademik] Sertifikat Akreditasi: Dokumen Sertifikat Akreditasi Program Studi Informatika UMSIDA. Dokumen ini digunakan sebagai bukti legalitas status akreditasi prodi untuk keperluan melamar kerja atau studi lanjut.', '[Dokumen Akademik] SK Perubahan Nama Prodi: Surat Keputusan (SK) Perubahan Nama Program Studi Informatika. Dokumen ini penting untuk validasi ijazah lama atau administrasi yang memerlukan riwayat perubahan nama prodi.', '[MBKM] Proyek Independen: Program MBKM: Studi Proyek Independen. Mengembangkan proyek sosial berkelompok untuk memecahkan masalah masyarakat.', '[Profil Prodi] Tujuan Prodi: Tujuan Program Studi Informatika: Menghasilkan lulusan unggul, produk penelitian pendukung pembelajaran, teknologi tepat guna, serta kerjasama pendidikan yang berkelanjutan.', '[Fasilitas Umum] Perpustakaan: Fasilitas Ruang Baca dan Perpustakaan UMSIDA. Menyediakan referensi dan literasi bagi mahasiswa.', '[Fasilitas Umum] Gedung Kuliah: Fasilitas Gedung Perkuliahan UMSIDA. Ruang kelas yang nyaman untuk mendukung proses belajar mengajar.', '[Organisasi] HIMATIKA: Himpunan Mahasiswa Informatika (HIMATIKA). Wadah pengembangan pola pikir, kepribadian, dan potensi intelektual mahasiswa berlandaskan nilai Islam.', '[Fasilitas] Lab Sistem Cerdas: Laboratorium Sistem Cerdas (Informatika UMSIDA). Fokus utama: Software Engineering, Programming, dan Computer Science. Aktivitas meliputi pengembangan basis kode video game dan alat pengembangan software.']","- Program Magang Bersertifikat adalah salah satu program MBKM yang memberikan pengalaman industri agar mahasiswa siap kerja.
- Industri mendapatkan talenta, sedangkan mahasiswa mengaplikasikan ilmu.","Program Magang Bersertifikat adalah program MBKM yang berlangsung selama 1-2 semester untuk memberikan pengalaman industri agar mahasiswa siap kerja, dimana mahasiswa dapat mengaplikasikan ilmunya dan industri mendapatkan talenta.",1.0,0.99999999995,1.0
"Saya membutuhkan Sertifikat Akreditasi Informatika, dimana saya bisa mengunduhnya?","['[Dokumen Akademik] Sertifikat Akreditasi: Dokumen Sertifikat Akreditasi Program Studi Informatika UMSIDA. Dokumen ini digunakan sebagai bukti legalitas status akreditasi prodi untuk keperluan melamar kerja atau studi lanjut.', '[Administrasi Skripsi] Berita Acara Sidang: Berita Acara Ujian Skripsi Informatika. Formulir kelengkapan administrasi untuk pelaksanaan Sidang Skripsi.', '[Organisasi] HIMATIKA: Himpunan Mahasiswa Informatika (HIMATIKA). Wadah pengembangan pola pikir, kepribadian, dan potensi intelektual mahasiswa berlandaskan nilai Islam.', '[Fasilitas] Lab Komputasi: Laboratorium Komputasi Informatika UMSIDA. Fokus utama: Menunjang praktikum tingkat lanjut dan penelitian skripsi.', '[Dokumen Akademik] SK Perubahan Nama Prodi: Surat Keputusan (SK) Perubahan Nama Program Studi Informatika. Dokumen ini penting untuk validasi ijazah lama atau administrasi yang memerlukan riwayat perubahan nama prodi.', '[Fasilitas Umum] Perpustakaan: Fasilitas Ruang Baca dan Perpustakaan UMSIDA. Menyediakan referensi dan literasi bagi mahasiswa.', ""[Sertifikasi] Pelatihan dan Sertifikasi: Kegiatan Penunjang: Pelatihan & Workshop rutin (Web Dev, Python, Machine Learning) dan Sertifikasi Profesi (LSP) skema 'Junior Network Administrator' berlisensi BNSP."", '[Kurikulum] Matkul Semester 4: Mata Kuliah Semester 4 Informatika: Sains Islam, Metode Numerik, Statistika, Jaringan Komputer, PBO, Audit Sistem, App Web.', '[Fasilitas Umum] Gedung Kuliah: Fasilitas Gedung Perkuliahan UMSIDA. Ruang kelas yang nyaman untuk mendukung proses belajar mengajar.', '[Organisasi] ASLAB: Asisten Laboratorium Informatika (ASLAB). Organisasi yang bertugas mewujudkan laboratorium bermutu, menyelenggarakan praktikum, dan sarana penelitian.']",- Dokumen Sertifikat Akreditasi Program Studi Informatika UMSIDA tersedia di link berikut: https://informatika.umsida.ac.id/wp-content/uploads/2025/04/file_sertifikat_25011014431107106055201_1742941667.pdf,Dokumen Sertifikat Akreditasi Program Studi Informatika UMSIDA dapat diunduh melalui tautan ini: https://informatika.umsida.ac.id/wp-content/uploads/2025/04/file_sertifikat_25011014431107106055201_1742941667.pdf,0.0,0.0,0.0
